theta,radii,z_value
0,150,240
30,150,230
60,150,220
90,150,210
120,150,200
150,150,190
180,150,180
210,150,170
240,150,160
270,150,150
300,150,140
330,150,130
360,150,240
0,130,240
30,130,230
60,130,220
90,130,210
120,130,200
150,130,190
180,130,180
210,130,170
240,130,160
270,130,150
300,130,140
330,130,130
360,130,240
0,110,240
30,110,230
60,110,220
90,110,210
120,110,200
150,110,190
180,110,180
210,110,170
240,110,160
270,110,150
300,110,140
330,110,130
360,110,240
0,90,240
30,90,230
60,90,220
90,90,210
120,90,200
150,90,190
180,90,180
210,90,170
240,90,160
270,90,150
300,90,140
330,90,130
360,90,240
0,50,240
30,50,230
60,50,220
90,50,210
120,50,200
150,50,190
180,50,180
210,50,170
240,50,160
270,50,150
300,50,140
330,50,130
360,50,240
0,30,240
30,30,230
60,30,220
90,30,210
120,30,200
150,30,190
180,30,180
210,30,170
240,30,160
270,30,150
300,30,140
330,30,130
360,30,240
0,0,240
30,0,230
60,0,220
90,0,210
120,0,200
150,0,190
180,0,180
210,0,170
240,0,160
270,0,150
300,0,140
330,0,130
360,0,240
