theta,radii,z_value
0,150,240
30,150,240
60,150,240
90,150,240
120,150,240
150,150,240
180,150,120
210,150,120
240,150,120
270,150,120
300,150,120
330,150,120
360,150,240
0,130,240
30,130,240
60,130,240
90,130,240
120,130,240
150,130,240
180,130,120
210,130,120
240,130,120
270,130,120
300,130,120
330,130,120
360,130,240
0,110,240
30,110,240
60,110,240
90,110,240
120,110,240
150,110,240
180,110,120
210,110,120
240,110,120
270,110,120
300,110,120
330,110,120
360,110,240
0,90,240
30,90,240
60,90,240
90,90,240
120,90,240
150,90,240
180,90,120
210,90,120
240,90,120
270,90,120
300,90,120
330,90,120
360,90,240
0,50,240
30,50,240
60,50,240
90,50,240
120,50,240
150,50,240
180,50,120
210,50,120
240,50,120
270,50,120
300,50,120
330,50,120
360,50,240
0,30,240
30,30,240
60,30,240
90,30,240
120,30,240
150,30,240
180,30,120
210,30,120
240,30,120
270,30,120
300,30,120
330,30,120
360,30,240
0,0,240
30,0,240
60,0,240
90,0,240
120,0,240
150,0,240
180,0,120
210,0,120
240,0,120
270,0,120
300,0,120
330,0,120
360,0,240
