theta,radii,z_value
0,150,240
30,150,240
60,150,240
90,150,240
120,150,240
150,150,240
180,150,240
210,150,240
240,150,240
270,150,240
300,150,240
330,150,240
360,150,240
0,130,210
30,130,210
60,130,210
90,130,210
120,130,210
150,130,210
180,130,210
210,130,210
240,130,210
270,130,210
300,130,210
330,130,210
360,130,210
0,110,180
30,110,180
60,110,180
90,110,180
120,110,180
150,110,180
180,110,180
210,110,180
240,110,180
270,110,180
300,110,180
330,110,180
360,110,180
0,90,220
30,90,220
60,90,220
90,90,220
120,90,220
150,90,220
180,90,220
210,90,220
240,90,220
270,90,220
300,90,220
330,90,220
360,90,220
0,50,180
30,50,180
60,50,180
90,50,180
120,50,180
150,50,180
180,50,180
210,50,180
240,50,180
270,50,180
300,50,180
330,50,180
360,50,180
0,30,150
30,30,150
60,30,150
90,30,150
120,30,150
150,30,150
180,30,150
210,30,150
240,30,150
270,30,150
300,30,150
330,30,150
360,30,150
0,0,220
30,0,220
60,0,220
90,0,220
120,0,220
150,0,220
180,0,220
210,0,220
240,0,220
270,0,220
300,0,220
330,0,220
360,0,220
