theta,radii,z_value
0,150,240
30,150,240
60,150,240
90,150,240
120,150,240
150,150,240
180,150,240
210,150,240
240,150,240
270,150,240
300,150,240
330,150,240
360,150,240
0,130,220
30,130,220
60,130,220
90,130,220
120,130,220
150,130,220
180,130,220
210,130,220
240,130,220
270,130,220
300,130,220
330,130,220
360,130,220
0,110,200
30,110,200
60,110,200
90,110,200
120,110,200
150,110,200
180,110,200
210,110,200
240,110,200
270,110,200
300,110,200
330,110,200
360,110,200
0,90,180
30,90,180
60,90,180
90,90,180
120,90,180
150,90,180
180,90,180
210,90,180
240,90,180
270,90,180
300,90,180
330,90,180
360,90,180
0,50,150
30,50,150
60,50,150
90,50,150
120,50,150
150,50,150
180,50,150
210,50,150
240,50,150
270,50,150
300,50,150
330,50,150
360,50,150
0,30,120
30,30,120
60,30,120
90,30,120
120,30,120
150,30,120
180,30,120
210,30,120
240,30,120
270,30,120
300,30,120
330,30,120
360,30,120
0,0,100
30,0,100
60,0,100
90,0,100
120,0,100
150,0,100
180,0,100
210,0,100
240,0,100
270,0,100
300,0,100
330,0,100
360,0,100
